customer_id,feature,entitled,notes
CUST-001,Google Calendar sync,true,Free/busy and interview scheduling
CUST-001,Candidate email automation,true,Transactional invitation mail
CUST-001,Careers site custom domain,true,Hosted public job pages
CUST-001,Advanced scorecards,true,Structured interviewer feedback
CUST-001,Bulk CSV candidate import,true,Import preview and dedupe rules
CUST-001,Recruiting analytics,true,Pipeline and source dashboards
CUST-002,Google Calendar sync,true,Free/busy and interview scheduling
CUST-002,Candidate email automation,true,Transactional invitation mail
CUST-002,Careers site custom domain,true,Hosted public job pages
CUST-002,Advanced scorecards,true,Structured interviewer feedback
CUST-002,Bulk CSV candidate import,true,Import preview and dedupe rules
CUST-002,Recruiting analytics,true,Pipeline and source dashboards
CUST-003,Google Calendar sync,true,Free/busy and interview scheduling
CUST-003,Candidate email automation,true,Transactional invitation mail
CUST-003,Careers site custom domain,true,Hosted public job pages
CUST-003,Advanced scorecards,true,Structured interviewer feedback
CUST-003,Bulk CSV candidate import,true,Import preview and dedupe rules
CUST-003,Recruiting analytics,true,Pipeline and source dashboards
CUST-004,Google Calendar sync,true,Free/busy and interview scheduling
CUST-004,Candidate email automation,true,Transactional invitation mail
CUST-004,Careers site custom domain,true,Hosted public job pages
CUST-004,Advanced scorecards,true,Structured interviewer feedback
CUST-004,Bulk CSV candidate import,true,Import preview and dedupe rules
CUST-004,Recruiting analytics,true,Pipeline and source dashboards
CUST-005,Google Calendar sync,true,Free/busy and interview scheduling
CUST-005,Candidate email automation,true,Transactional invitation mail
CUST-005,Careers site custom domain,true,Hosted public job pages
CUST-005,Advanced scorecards,true,Structured interviewer feedback
CUST-005,Bulk CSV candidate import,true,Import preview and dedupe rules
CUST-005,Recruiting analytics,true,Pipeline and source dashboards
CUST-006,Google Calendar sync,true,Free/busy and interview scheduling
CUST-006,Candidate email automation,true,Transactional invitation mail
CUST-006,Careers site custom domain,true,Hosted public job pages
CUST-006,Advanced scorecards,true,Structured interviewer feedback
CUST-006,Bulk CSV candidate import,true,Import preview and dedupe rules
CUST-006,Recruiting analytics,true,Pipeline and source dashboards
CUST-007,Google Calendar sync,true,Free/busy and interview scheduling
