customer_id,name,role,email,phone,emergency
CUST-001,Recruiting Ops Lead 1,Recruiting Ops Lead,recruiting.ops@apexrobotics.example,+1-555-0001,true
CUST-001,Head of Talent 1,Head of Talent,talent@apexrobotics.example,+1-555-0101,false
CUST-002,Recruiting Ops Lead 2,Recruiting Ops Lead,recruiting.ops@bluewavehealth.example,+1-555-0002,true
CUST-002,Head of Talent 2,Head of Talent,talent@bluewavehealth.example,+1-555-0102,false
CUST-003,Recruiting Ops Lead 3,Recruiting Ops Lead,recruiting.ops@clearpathlogistics.example,+1-555-0003,true
CUST-003,Head of Talent 3,Head of Talent,talent@clearpathlogistics.example,+1-555-0103,false
CUST-004,Recruiting Ops Lead 4,Recruiting Ops Lead,recruiting.ops@deltahirestudios.example,+1-555-0004,true
CUST-004,Head of Talent 4,Head of Talent,talent@deltahirestudios.example,+1-555-0104,false
CUST-005,Recruiting Ops Lead 5,Recruiting Ops Lead,recruiting.ops@evergreenretail.example,+1-555-0005,true
CUST-005,Head of Talent 5,Head of Talent,talent@evergreenretail.example,+1-555-0105,false
CUST-006,Recruiting Ops Lead 6,Recruiting Ops Lead,recruiting.ops@futurabank.example,+1-555-0006,true
CUST-006,Head of Talent 6,Head of Talent,talent@futurabank.example,+1-555-0106,false
CUST-007,Recruiting Ops Lead 7,Recruiting Ops Lead,recruiting.ops@granitelabs.example,+1-555-0007,true
CUST-007,Head of Talent 7,Head of Talent,talent@granitelabs.example,+1-555-0107,false
CUST-008,Recruiting Ops Lead 8,Recruiting Ops Lead,recruiting.ops@helioworks.example,+1-555-0008,true
CUST-008,Head of Talent 8,Head of Talent,talent@helioworks.example,+1-555-0108,false
CUST-009,Recruiting Ops Lead 9,Recruiting Ops Lead,recruiting.ops@ivycloud.example,+1-555-0009,true
CUST-009,Head of Talent 9,Head of Talent,talent@ivycloud.example,+1-555-0109,false
CUST-010,Recruiting Ops Lead 10,Recruiting Ops Lead,recruiting.ops@junofoods.example,+1-555-0010,true
CUST-010,Head of Talent 10,Head of Talent,talent@junofoods.example,+1-555-0110,false
CUST-011,Recruiting Ops Lead 11,Recruiting Ops Lead,recruiting.ops@kitebridge.example,+1-555-0011,true
CUST-011,Head of Talent 11,Head of Talent,talent@kitebridge.example,+1-555-0111,false
CUST-012,Recruiting Ops Lead 12,Recruiting Ops Lead,recruiting.ops@latticeworks.example,+1-555-0012,true
CUST-012,Head of Talent 12,Head of Talent,talent@latticeworks.example,+1-555-0112,false
CUST-013,Recruiting Ops Lead 13,Recruiting Ops Lead,recruiting.ops@metropulse.example,+1-555-0013,true
CUST-013,Head of Talent 13,Head of Talent,talent@metropulse.example,+1-555-0113,false
CUST-014,Recruiting Ops Lead 14,Recruiting Ops Lead,recruiting.ops@northstarlegal.example,+1-555-0014,true
CUST-014,Head of Talent 14,Head of Talent,talent@northstarlegal.example,+1-555-0114,false
CUST-015,Recruiting Ops Lead 15,Recruiting Ops Lead,recruiting.ops@orbitcare.example,+1-555-0015,true
CUST-015,Head of Talent 15,Head of Talent,talent@orbitcare.example,+1-555-0115,false
CUST-016,Recruiting Ops Lead 16,Recruiting Ops Lead,recruiting.ops@pioneergames.example,+1-555-0016,true
CUST-016,Head of Talent 16,Head of Talent,talent@pioneergames.example,+1-555-0116,false
CUST-017,Recruiting Ops Lead 17,Recruiting Ops Lead,recruiting.ops@quartzeducation.example,+1-555-0017,true
CUST-017,Head of Talent 17,Head of Talent,talent@quartzeducation.example,+1-555-0117,false
CUST-018,Recruiting Ops Lead 18,Recruiting Ops Lead,recruiting.ops@riverstoneinsurance.example,+1-555-0018,true
CUST-018,Head of Talent 18,Head of Talent,talent@riverstoneinsurance.example,+1-555-0118,false
CUST-019,Recruiting Ops Lead 19,Recruiting Ops Lead,recruiting.ops@summitapparel.example,+1-555-0019,true
CUST-019,Head of Talent 19,Head of Talent,talent@summitapparel.example,+1-555-0119,false
CUST-020,Recruiting Ops Lead 20,Recruiting Ops Lead,recruiting.ops@terragrid.example,+1-555-0020,true
CUST-020,Head of Talent 20,Head of Talent,talent@terragrid.example,+1-555-0120,false
CUST-021,Recruiting Ops Lead 21,Recruiting Ops Lead,recruiting.ops@urbanloop.example,+1-555-0021,true
CUST-021,Head of Talent 21,Head of Talent,talent@urbanloop.example,+1-555-0121,false
CUST-022,Recruiting Ops Lead 22,Recruiting Ops Lead,recruiting.ops@vectorai.example,+1-555-0022,true
CUST-022,Head of Talent 22,Head of Talent,talent@vectorai.example,+1-555-0122,false
CUST-023,Recruiting Ops Lead 23,Recruiting Ops Lead,recruiting.ops@willowpharma.example,+1-555-0023,true
CUST-023,Head of Talent 23,Head of Talent,talent@willowpharma.example,+1-555-0123,false
CUST-024,Recruiting Ops Lead 24,Recruiting Ops Lead,recruiting.ops@xenofleet.example,+1-555-0024,true
CUST-024,Head of Talent 24,Head of Talent,talent@xenofleet.example,+1-555-0124,false
CUST-025,Recruiting Ops Lead 25,Recruiting Ops Lead,recruiting.ops@yieldwise.example,+1-555-0025,true
CUST-025,Head of Talent 25,Head of Talent,talent@yieldwise.example,+1-555-0125,false
